Feature2,Feature3,Feature7,Feature9
0.797416964,-0.958090825,1.490147819,2.27794226
0.026838179,-0.244178309,2.151534786,-3.395355858
0.199990002,-1.014798744,1.410613113,-3.070746033
0.474124493,0.44804015,0.63509089,-0.246269151
0.598516451,0.087839246,0.392104319,3.215086471
0.879753184,-0.147499173,0.763004354,-4.028923893
0.638337707,1.456409933,0.505438525,-1.104511731
0.522327117,0.126672834,3.156345295,-1.149391016
0.907293216,0.093092249,3.361390118,1.531995548
0.999426433,-1.552722233,1.07856747,0.5530252
0.730193756,-0.48298765,0.977198026,-1.705325943
0.087168996,-0.293627756,2.428587516,0.972952524
0.329888139,0.245179862,0.814214613,-1.31772795
0.521694175,1.164969128,0.66526766,0.37009566
0.262258433,-0.627740099,2.050567957,-0.802786872
0.873724751,0.655803912,1.932806033,1.763187569
0.19647403,0.983773202,0.483883113,1.196248814
0.204466737,-0.988009555,3.601679417,-0.631827225
1.119410887,0.899467493,0.367480694,-1.886894596
0.669343123,-0.994681584,1.019961904,-1.828873725
0.616694253,-0.426544654,1.906145345,-1.816699605
0.397840594,0.248413244,0.881802362,-0.558242644
0.215388447,-0.162185745,0.900572282,-2.226560468
0.586365946,0.109822491,0.103641353,5.639152531
0.689365311,0.046061276,0.384104067,-0.145814989
0.256325193,-0.614444313,0.540249764,-1.208060601
0.840272106,1.571863692,0.464375639,2.554681274
0.554416846,-0.114195823,0.366160491,1.33768525
0.502379723,-0.354703879,0.021422962,-4.093091205
0.861470851,1.225560655,0.390580993,-1.378145133
0.187342057,-0.846430225,1.956019898,2.688590229
0.019240441,-1.000288402,1.268870154,-0.46225166
0.770538842,-1.209638871,0.111818614,-1.217641189
0.221392156,0.475403757,0.110750667,-4.647367293
0.113432354,0.255511909,0.709580543,0.021349125
0.253333826,0.921538128,0.906874767,1.812969597
0.157421455,-2.008859483,0.062506484,0.468308029
0.26506003,-0.046595994,1.694848719,-1.70238265
0.089010151,0.407887511,0.137426568,0.282778538
0.481267005,0.637778699,2.1081421,2.039093114
0.694147386,1.33959276,1.826530955,0.633112172
0.906372987,-1.817375289,1.191751777,0.815518926
0.74542205,0.188666904,1.156959431,0.486311331
0.108718551,0.491345998,0.804673779,-0.507505109
0.535150633,0.291444738,0.584323387,1.013885918
0.079322148,-1.857559714,1.135675233,-0.186921223
0.572778765,0.592728351,2.065336299,1.385716293
0.528350278,0.462554003,0.23621782,2.630048963
0.006517467,-0.406328516,1.279812911,1.497391051
0.75381328,0.024909266,0.219102428,0.361025952
0.641425054,0.140605752,2.261463882,-1.821004385
0.453755056,0.353029105,0.884826055,3.284975236
0.918966709,0.627645793,0.123020981,0.688859792
0.452604776,0.679004846,0.002222932,-0.647079333
0.461103134,0.043251546,0.627551702,1.265723904
0.162696273,1.883987979,1.035700233,0.694602811
0.66490523,1.348020543,3.460746362,-2.039747842
0.168512531,0.691585324,0.452121037,1.072396527
0.309637564,-0.449766865,0.052709787,0.788451716
0.699191208,-1.131190447,0.919831673,4.777304645
0.306057922,-0.07172749,0.183565121,-1.229998894
0.602821541,-0.27912105,3.867272183,0.741423762
0.9767111,0.199517673,0.490971092,0.934618632
0.043118245,-0.633003137,0.787342814,0.866820858
0.394207891,1.12268401,0.304653214,-1.652421362
0.899734862,-1.170684134,2.363047696,-0.304427103
0.589868123,-1.539887491,0.075702049,-0.769992385
0.941775097,0.616945207,0.278703713,0.081840576
0.950465015,1.563011543,0.041519366,-1.099182
0.827428254,-0.803172056,2.817267274,-0.024737333
0.34791934,-1.215922284,0.434916866,3.631664834
0.026721119,0.404411725,0.376350188,1.260096571
0.953805859,-1.266446843,1.795846572,1.339874734
0.204080587,2.074281055,2.153419856,1.157386806
0.242581772,0.379375137,0.999983834,2.211173224
0.66590459,0.698470748,1.978391766,1.515724431
0.702182475,1.689258429,2.929136755,1.209905924
0.959018364,-0.39081685,0.563815644,0.80709158
0.595266526,0.072632399,0.746338316,1.075564288
0.440329956,-1.161405608,0.204838683,-3.638969848
0.124381331,0.243569251,2.243912332,0.770494595
0.85741034,0.155731112,1.005787041,0.698054216
0.044264855,-0.991410808,2.717228279,0.886022239
0.852229115,1.097283948,0.473486382,1.136776084
0.336313961,0.927621985,3.694358809,2.478662296
0.908029341,0.736330978,0.826860725,0.658900615
0.850622833,1.931073521,1.312113669,-0.272082505
0.698924761,-1.444677328,1.003368135,-2.478797415
0.021341383,0.436631554,0.045841096,2.339671175
0.691665599,0.722252414,0.32580662,-1.146951287
0.561824944,1.24650693,2.71973737,-1.711381474
1.353971349,0.126108999,0.84207241,-0.310684303
0.576869786,-0.231884779,0.099076126,3.229070226
0.849543797,-0.770131459,1.01976136,1.09094944
0.210651624,-0.045574078,0.482274896,0.968209578
0.339648347,0.027727524,1.715711392,0.38900821
0.088310822,0.878588554,0.248353416,-0.029840443
0.778373954,-0.350479876,5.229592956,-0.957187692
0.099343072,-1.057303559,1.594595976,0.677924875
0.911990471,-0.046356644,0.071635564,1.051462142
0.51085556,-0.190848458,0.245147051,-4.796008235
0.273252296,-0.782718197,1.898065792,1.389980533
0.070026448,0.982641393,0.268401219,0.450966393
0.817790758,0.333204681,4.044338635,-1.097777999
0.392288617,-1.366043767,0.495381459,1.804633294
0.884829163,-2.641194902,0.007038624,0.398089992
0.720551575,0.331134578,1.173708613,-3.785889089
0.084154312,-1.63379117,0.496706981,0.589737951
0.772124993,-0.064695503,0.914310039,0.597075269
0.822630246,0.59881466,0.700729703,1.01542728
0.100185111,0.466621962,0.494245777,0.591902038
0.670248373,2.14353515,1.752222982,-3.07003089
0.220981034,1.574473642,1.490624471,2.395077256
0.335351729,-1.035376572,3.401639481,-2.742912767
0.140406847,-1.817191185,0.626113135,-0.182368807
-0.456913167,-1.30664331,0.382346802,-0.837835424
0.857506464,0.973809041,1.470463874,0.441142953
0.932882438,0.214872441,0.53765037,-4.504194006
0.7217726,0.290684416,0.052182883,1.266636019
0.164377011,-0.479700723,1.431429283,-1.592456182
0.00091292,-0.332683038,0.68076361,-0.24719028
0.363467152,-0.851947442,1.002777872,-0.932976467
0.545313994,0.494456055,2.286835042,0.255615446
0.416963454,0.948169694,0.243258387,3.922642975
0.667559013,1.145432963,0.028215688,1.206425111
0.278363393,-0.710842652,0.090522063,1.936715106
0.289952643,0.256320796,0.563018785,1.987047046
0.006060533,-0.029902407,0.20363928,3.780227507
0.641517297,-1.339849846,0.897598061,0.630478471
0.845983873,0.522161361,1.446137941,0.074504579
0.916243045,0.152700428,1.045437149,-1.87485133
0.587156514,0.935846169,0.437311434,0.909278522
0.191653135,-0.208703138,0.553042656,-0.239205012
0.410321506,-0.820438969,0.114883295,-1.098905584
0.357684351,0.453194415,1.987745049,0.041142964
0.05729148,-1.081156908,1.660630898,0.560587095
0.014082689,-0.54825184,0.640647417,1.653836599
0.310541719,0.05597883,0.264863584,-0.492749428
0.709299488,-0.005837248,0.225668063,-1.919830232
0.502449344,-0.610024574,3.479286044,-0.52310999
0.765264584,0.489423629,0.08783922,-0.004943787
0.875235423,0.685627141,4.97102417,2.343034759
0.948809261,-0.596010877,0.070569297,-2.324614114
0.798122024,-0.573750114,2.840161863,-1.788718611
0.040568114,-0.624742969,1.859881867,2.060361638
0.968598611,0.905727905,0.245195217,0.116394424
0.314727799,0.747197293,1.728324128,-1.555536177
0.883796821,-0.479359091,1.137674381,-0.363159713
0.134412531,-0.805868251,0.013669163,-0.755654953
0.6556943,-0.922707482,0.875690744,-0.337128794
0.321264734,0.641941302,0.047346897,-0.025104046
0.794090342,1.827852072,0.75318432,0.87566833
1.38849939,-0.368300301,0.342758955,-0.060338134
0.507945846,-0.331449197,0.594298566,-1.68154568
0.982058879,2.266259918,0.366616954,0.597161025
0.725624538,-0.490764203,0.369893696,-1.109587518
0.127095348,-1.918495817,0.515291005,1.417918764
0.658217279,0.102551535,0.282965735,-0.873657651
0.671396677,0.519619375,1.164073794,-2.078996287
0.825781335,0.892296377,0.180125288,3.225191913
0.296731808,-1.124859427,0.085786714,-1.598587793
0.146820325,0.316085566,0.047256002,0.07882748
0.846714525,-1.333242133,0.005859338,-0.978430906
0.364857313,-1.301196426,0.22561116,1.012417998
0.439274974,-0.293922152,1.167830144,0.330173504
-0.358453681,0.087516361,0.05549629,1.915679444
0.458491162,0.149325441,2.059255911,0.011102732
0.081613888,-0.647295671,1.012517317,-3.597087268
0.661027976,0.301433057,2.443243016,-1.709490943
0.71677891,0.371058739,0.024292056,-0.573070992
1.045149808,-0.507526597,1.142936892,1.7733763
0.703015153,0.588349316,4.277222589,-0.589273179
0.396085209,0.524483625,0.47285211,-0.66481857
0.900646871,-0.884440416,0.555058968,-0.478596504
0.770596582,-1.451588778,1.67820985,0.361516979
0.279309869,0.393670376,0.476693282,-0.851841383
0.4721517,-0.122342054,1.786493289,-2.494713809
0.722199733,0.501156216,0.922198835,-1.215787968
0.53417475,1.524112254,0.517039486,0.208005141
0.519939793,0.385924686,0.157782092,-1.980217202
0.842538554,0.877819304,3.209244291,-0.072853921
0.652703132,1.012275022,0.292345117,-0.778396073
0.940471068,0.307773264,0.249159286,1.5909421
0.271586152,-0.706494973,0.0857868,1.618269381
0.099732763,0.347093165,0.985896064,-2.340069319
1.43057075,-0.635756743,0.480897375,1.193604747
0.189827694,-1.635904627,0.135289997,0.553318353
0.554198757,-3.072786496,1.097584695,-2.131901322
0.511920609,-0.75908525,1.216579387,0.032967606
0.594019728,-1.462575982,0.133697046,0.979914689
0.201056529,-1.864708045,1.734225853,0.641040463
0.239283382,0.585362572,1.632429135,-1.041391662
0.056956272,0.327771725,2.979119694,-1.237545844
0.025321538,-2.123887793,0.121571772,0.544000084
0.355450962,0.565443284,1.868608818,-2.058496726
0.746314547,1.061774036,0.077405452,-0.240669091
0.700111424,-0.456230624,2.141367128,-0.138361292
0.665310769,-0.525507748,0.867808474,-1.246076324
0.021470407,0.2302065,2.935430401,-2.238571707
0.948520214,-0.326303421,0.198516871,2.395039198
0.340397466,0.539121105,1.478552926,0.125030329
0.434107473,1.182323082,0.938715187,-0.239874017
0.801253266,1.218587855,1.110339907,-4.030964978
0.091529596,-0.405457936,0.500473162,-0.525218344
0.176852586,-1.407292435,0.197779919,0.217334026
0.325611953,1.091064198,5.75782504,-0.177341453
0.843385865,-0.864393625,1.778554098,0.746870615
0.685782273,-0.318419704,0.344304945,-0.259161514
0.358394397,0.736213843,0.705078884,2.047708801
0.933365795,-1.032107645,1.213095948,-0.858258906
0.783701352,-0.492268095,0.258600111,-0.9027843
0.010447354,-0.616632315,0.357531005,-0.895633783
0.450290466,-0.616235945,2.388512519,-1.119176278
0.425069681,-0.658916925,0.523068075,1.780614205
0.23559993,-0.432453868,0.519317637,3.240298333
0.281753463,1.378523804,4.009737007,-0.278676983
0.682846861,0.621729722,0.159456893,1.426898467
0.240448521,-0.220167535,0.116245345,-1.57471909
0.740330549,-0.59793953,1.011933768,-0.414041268
0.469407006,1.68032451,1.732575085,2.649727126
0.079653393,-1.924099429,0.614121833,1.083480804
0.406533206,-1.649842201,0.504301509,-1.136506707
0.79151574,1.240308064,1.607994333,0.408032953
0.129257619,-0.169064832,0.932600324,1.251509591
0.50268559,-1.965159182,0.053985922,-1.461066134
0.186318615,0.197967903,0.239753395,-2.099954284
0.926358749,0.147936294,1.650821641,-2.405774699
0.548503339,-0.856266879,0.051667279,0.991116024
0.165265417,0.045884304,0.71116956,-1.655397746
